train_number,station_code,day_of_week,month,is_holiday,weather,scheduled_arrival_hour,delay_minutes
12009,HWH,1,7,1,Stormy,3,24
12008,NDLS,0,9,0,Rainy,12,64
12007,NDLS,4,9,0,Clear,3,14
12003,DDU,4,6,0,Foggy,1,115
12006,PNBE,0,7,0,Stormy,5,15
12001,CNB,0,8,1,Rainy,19,54
12004,LKO,2,9,0,Clear,15,21
12008,CNB,2,1,0,Foggy,1,136
12008,CNB,0,3,0,Foggy,5,124
12007,LKO,0,11,0,Clear,0,0
12002,BSB,1,12,0,Clear,21,10
12003,PNBE,1,11,0,Stormy,13,26
12002,NDLS,4,11,0,Stormy,21,13
12004,PNBE,6,10,0,Rainy,15,79
12006,LKO,3,8,0,Stormy,0,19
12005,CNB,1,7,0,Foggy,16,90
12003,BSB,2,2,0,Rainy,17,40
12001,DDU,1,12,0,Clear,3,0
12005,LKO,4,12,0,Rainy,19,44
12009,LKO,0,3,0,Foggy,15,131
12004,DDU,1,9,0,Clear,23,25
12001,DDU,6,4,0,Foggy,12,93
12003,CNB,3,9,0,Rainy,10,33
12007,BSB,0,7,0,Foggy,14,41
12003,HWH,4,11,0,Stormy,10,15
120010,HWH,0,11,0,Foggy,20,121
12003,NDLS,5,8,0,Stormy,8,21
12007,HWH,4,9,0,Clear,20,16
12008,HWH,1,11,0,Rainy,23,66
12009,NDLS,5,3,0,Foggy,7,134
12005,DDU,2,7,0,Foggy,8,85
12002,CNB,0,1,1,Rainy,19,65
12005,PNBE,2,10,0,Clear,2,28
12003,CNB,2,6,0,Stormy,6,11
12005,PNBE,1,6,0,Foggy,4,66
12003,NDLS,5,2,0,Rainy,8,56
12007,DDU,1,6,0,Rainy,18,46
12002,CNB,3,12,0,Stormy,0,0
12001,HWH,4,4,0,Foggy,2,75
12002,HWH,5,7,0,Foggy,5,51
12008,LKO,6,9,0,Rainy,19,63
120010,HWH,4,1,0,Rainy,18,31
12001,BSB,6,12,0,Rainy,23,103
120010,LKO,5,7,0,Foggy,20,110
120010,LKO,0,3,0,Clear,14,5
12005,DDU,0,11,0,Stormy,14,27
12002,LKO,1,7,0,Rainy,3,45
12009,HWH,1,9,0,Stormy,0,10
12003,HWH,3,5,0,Rainy,1,66
120010,HWH,6,4,0,Rainy,14,65
12001,NDLS,1,12,0,Clear,17,15
12008,NDLS,0,8,0,Foggy,2,69
12001,BSB,4,12,0,Rainy,2,52
12003,DDU,0,10,0,Foggy,23,82
120010,NDLS,4,5,0,Rainy,16,53
12009,BSB,3,9,0,Clear,14,0
12003,DDU,3,9,0,Foggy,10,52
12008,HWH,0,12,0,Stormy,5,31
12002,PNBE,0,1,0,Foggy,23,124
12009,HWH,0,5,0,Foggy,2,153
12001,BSB,1,7,0,Rainy,11,39
12002,BSB,1,9,0,Rainy,4,23
12009,CNB,0,2,0,Clear,9,0
12007,DDU,6,12,0,Clear,5,51
12009,NDLS,1,1,0,Stormy,15,0
12002,NDLS,4,2,0,Stormy,5,0
12003,HWH,0,1,0,Clear,14,37
12007,BSB,4,10,0,Clear,21,15
12003,PNBE,1,1,0,Foggy,0,154
12003,CNB,0,4,0,Rainy,13,55
120010,HWH,2,2,0,Foggy,9,55
12001,PNBE,0,2,0,Rainy,20,49
12003,HWH,0,12,0,Stormy,1,6
12004,HWH,2,8,0,Rainy,8,60
12001,NDLS,2,2,0,Rainy,10,52
120010,BSB,4,11,1,Rainy,21,67
12007,DDU,3,8,0,Rainy,22,33
12004,HWH,3,9,0,Stormy,15,14
12003,CNB,6,12,0,Rainy,3,71
120010,HWH,3,5,0,Clear,18,11
12006,PNBE,5,3,0,Rainy,10,81
12006,HWH,3,6,0,Foggy,12,99
12003,NDLS,6,12,0,Rainy,12,78
120010,BSB,4,1,0,Rainy,11,20
12003,CNB,5,4,0,Foggy,8,112
12008,LKO,3,2,0,Rainy,13,33
12007,PNBE,4,4,0,Stormy,19,26
12004,CNB,2,10,0,Rainy,5,30
12006,CNB,2,7,0,Clear,19,20
12004,HWH,2,8,0,Rainy,15,51
12003,LKO,2,6,0,Stormy,2,13
12008,BSB,2,2,0,Rainy,9,68
12009,CNB,2,7,0,Rainy,18,62
12007,CNB,0,10,0,Foggy,14,36
12001,HWH,6,9,0,Rainy,22,69
12001,LKO,3,4,0,Clear,10,16
12006,CNB,3,7,1,Foggy,21,127
12002,DDU,4,5,0,Stormy,13,17
12004,PNBE,5,5,0,Clear,7,46
12006,NDLS,2,10,0,Stormy,23,25
12008,NDLS,2,11,0,Rainy,20,63
12001,BSB,4,12,0,Rainy,6,36
12007,CNB,5,6,0,Foggy,2,79
12001,LKO,6,11,0,Rainy,7,65
12003,BSB,4,3,1,Stormy,14,54
12004,DDU,0,5,0,Foggy,4,94
12007,NDLS,4,10,1,Clear,14,55
12003,HWH,2,10,0,Clear,15,23
12003,LKO,6,1,0,Foggy,14,145
12003,LKO,6,10,0,Foggy,5,120
12002,LKO,2,6,0,Rainy,13,49
12005,CNB,1,10,0,Foggy,22,102
12008,DDU,2,5,1,Clear,23,17
12001,LKO,0,11,0,Rainy,10,53
12008,PNBE,5,10,1,Rainy,19,97
12006,DDU,5,11,0,Rainy,17,44
12007,PNBE,3,2,0,Clear,13,22
12007,BSB,3,3,0,Rainy,20,29
12002,HWH,0,4,0,Rainy,12,61
120010,BSB,4,12,0,Rainy,15,60
12003,HWH,2,5,0,Clear,6,14
12003,LKO,5,11,1,Clear,11,107
12007,CNB,1,8,0,Clear,22,0
12005,BSB,3,3,0,Rainy,23,40
12008,DDU,3,1,0,Clear,11,16
12006,PNBE,2,3,0,Clear,17,40
12006,PNBE,4,8,0,Clear,2,3
12005,LKO,0,10,0,Rainy,1,39
12008,PNBE,6,5,0,Rainy,19,69
12001,CNB,6,10,0,Rainy,13,33
12005,CNB,3,11,0,Foggy,14,117
12008,DDU,6,6,0,Foggy,6,143
12003,BSB,2,3,0,Stormy,2,21
12009,PNBE,3,7,0,Foggy,22,114
12007,CNB,4,11,0,Clear,0,24
12003,PNBE,6,9,0,Rainy,17,23
12007,LKO,5,3,0,Stormy,13,32
12007,BSB,5,6,0,Rainy,4,71
12009,NDLS,0,2,0,Rainy,0,30
12002,NDLS,5,4,0,Clear,6,22
12006,NDLS,2,11,0,Clear,19,12
12003,HWH,6,12,0,Clear,1,57
12007,HWH,2,12,1,Clear,2,19
12008,NDLS,0,9,0,Foggy,5,78
12001,NDLS,3,11,0,Foggy,19,127
12007,PNBE,4,1,0,Rainy,2,32
12006,DDU,4,7,0,Foggy,19,57
12001,BSB,1,5,0,Foggy,0,61
120010,BSB,3,10,0,Rainy,23,42
12002,NDLS,2,5,1,Clear,1,65
12003,NDLS,0,3,0,Rainy,2,28
12006,NDLS,2,10,0,Rainy,22,14
12006,HWH,5,11,0,Rainy,4,22
12007,LKO,6,11,0,Stormy,12,4
12009,BSB,1,12,0,Clear,10,17
120010,LKO,4,12,0,Stormy,9,0
12009,BSB,5,12,0,Rainy,2,85
12007,PNBE,4,1,0,Rainy,10,40
12004,DDU,6,1,0,Clear,9,52
120010,CNB,3,1,0,Foggy,5,43
12005,CNB,2,11,0,Rainy,5,21
12005,PNBE,3,4,0,Foggy,2,77
12001,LKO,5,4,0,Stormy,16,30
12009,BSB,2,6,0,Clear,0,34
12003,CNB,3,4,0,Rainy,5,30
12008,HWH,3,6,1,Rainy,10,75
12006,BSB,2,7,0,Rainy,16,28
